Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-12-13 07:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,RetenciÃ³n del dividendo,USD,"-2,21"
2021-12-11 07:39:00,,,,Ingreso Cambio de Divisa,EUR,"0,46"
2021-12-11 07:39:00,,,,Retirada Cambio de Divisa,USD,"-0,53"
2021-12-10 08:28:00,MICROSOFT CORPORATION,United States (USA),US5949181045,Dividendo,USD,"0,62"
2021-12-10 08:28:00,MICROSOFT CORPORATION,United States (USA),US5949181045,RetenciÃ³n del dividendo,USD,"-0,09"
2021-11-18 10:34:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,13 EUR",,
2021-11-18 10:34:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-2,13"
2021-11-17 11:04:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 80,97 EUR",,
2021-11-17 11:04:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"80,97"
2021-11-17 07:37:00,,,,Ingreso Cambio de Divisa,EUR,"2,13"
2021-11-17 07:37:00,,,,Retirada Cambio de Divisa,USD,"-2,42"
2021-11-16 11:38:00,,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 50 EUR,,
2021-11-16 11:38:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-50,00"
2021-11-16 09:59:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,Dividendo,USD,"2,45"
2021-11-16 09:59:00,COCA COLA FEMSA S.A.B.,Mexico (MEX),US1912411089,ADR/GDR Pass-Through Fee,USD,"-0,03"
2021-11-16 09:33:00,ENCE,Spain (ESP),ES0130625512,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,04"
2021-11-16 09:33:00,ENCE,Spain (ESP),ES0130625512,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-2,00"
2021-11-16 09:33:00,ENCE,Spain (ESP),ES0130625512,"Compra 31 ENCE@2,546 EUR (ES0130625512)",EUR,"-78,93"
2021-11-15 13:03:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-15 13:03:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-11-15 12:21:00,,,,PromociÃ³n DEGIRO reembolso,EUR,"50,00"
2021-11-12 11:16:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-12 11:16:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
